id,herbal_id,senyawa_marker,golongan,nama_senyawa_3d,rumus_molekul,berat_molekul,link_jsmol,catatan_jsmol
11,11,Scopoletin,Metabolit Sekunder,Scopoletin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=C2C(=C1)C=CC(=O)O2)O&width=100%&height=400px,-
12,12,Phalerin,Metabolit Sekunder,Phalerin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=CC(=C1)C(=O)C2=C(C(=C(C=C2)O)OC3C(C(C(C(O3)CO)O)O)O)O)O&width=100%&height=400px,-
13,13,Chavicol,Metabolit Sekunder,Chavicol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C=CCC1=CC=C(C=C1)O&width=100%&height=400px,-
14,14,Eugenol,Metabolit Sekunder,Eugenol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=CC(=C1)CC=C)O&width=100%&height=400px,-
15,15,Quercitrin,Metabolit Sekunder,Quercitrin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O&width=100%&height=400px,-
16,16,3-n-butylphthalide,Metabolit Sekunder,3-n-butylphthalide,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CCCCC1C2=CC=CC=C2C(=O)O1&width=100%&height=400px,-
17,17,Allicin,Metabolit Sekunder,Allicin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C=CCSS(=O)CC=C&width=100%&height=400px,-
18,18,Cinnamaldehyde,Metabolit Sekunder,Cinnamaldehyde,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC=C(C=C1)C=CC=O&width=100%&height=400px,-
19,19,Aloin,Metabolit Sekunder,Aloin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=CC2=C(C3=C(C=C(C=C3C2=O)O)O)C(=O)1&width=100%&height=400px,-
20,20,Berberine,Metabolit Sekunder,Berberine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC&width=100%&height=400px,-
21,21,Charantin,Metabolit Sekunder,Charantin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1(C2CCC3(C(C3(CCC2C1(C)CC(C)C)C)CCC(C(C)C)C)C)C&width=100%&height=400px,-
22,22,Hibiscus acid,Metabolit Sekunder,Hibiscus acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1(C(=O)O1)(CC(=O)O)O&width=100%&height=400px,-
23,23,Zeatin,Metabolit Sekunder,Zeatin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC(=CCOC)NC1=C2C(=NC=N1)NC=N2&width=100%&height=400px,-
24,24,Luteolin,Metabolit Sekunder,Luteolin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O&width=100%&height=400px,-
25,25,Verbascoside,Metabolit Sekunder,Verbascoside,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1CC(C(=O)OC2C(C(C(C(O2)CO)O)O)OC3C(C(C(C(O3)C)O)O)O)O)O)O&width=100%&height=400px,-
26,26,Beta-sitosterol,Metabolit Sekunder,Beta-sitosterol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CCC(CC)C(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C&width=100%&height=400px,-
27,27,Thymoquinone,Metabolit Sekunder,Thymoquinone,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=CC(=O)C(=CC1=O)C(C)C&width=100%&height=400px,-
28,28,Eurycomanone,Metabolit Sekunder,Eurycomanone,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(C(=O)CC2(C13CC(C(C4C3(C(C(C4(C)O)OC(=O)C5=CC=CO5)O)O)O)OC2=O)C)O&width=100%&height=400px,-
29,29,Bergapten,Metabolit Sekunder,Bergapten,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C2C=CC(=O)OC2=CC3=C1C=CO3&width=100%&height=400px,-
30,30,Alpha-mangostin,Metabolit Sekunder,Alpha-mangostin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC(=CCC1=C(C(=C2C(=C1O)C(=O)C3=C(C(=C(C=C3O2)O)OC)CC=C(C)C)O)O)C&width=100%&height=400px,-
31,31,Annonacin,Metabolit Sekunder,Annonacin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CCCCCCCCCCC(C)C1OC(=O)CC1(O)CCCC(O)C(C)CC2(O)CCC(O2)C(C)CCC3(O)CCC(O3)C(C)C(=O)O&width=100%&height=400px,-
32,32,Pheophorbide-a,Metabolit Sekunder,Pheophorbide-a,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CCC1=C(C2=CC3=C(C(C(=N3)C(=C4C(C(C(=N4)CC1=N2)CCC(=O)OC)C)C)C)C=C)C(=O)OC&width=100%&height=400px,-
33,33,Kaempferol,Metabolit Sekunder,Kaempferol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O&width=100%&height=400px,-
34,34,Eleutherine,Metabolit Sekunder,Eleutherine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1CC2=CC(=C(C(=C2C(=O)O1)O)C)OC&width=100%&height=400px,-
35,35,Physalin B,Metabolit Sekunder,Physalin B,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(C(=O)OC1)C2(C(CC3C4(C(C3(C2=O)O)C5(CC6C(C(CC6(C5C(=O)C=C4)C)O)O)C)O)O&width=100%&height=400px,-
36,36,Brazilin,Metabolit Sekunder,Brazilin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1C2=CC(=C(C=C2C(O1)C3=CC(=C(C=C3)O)O)O)O&width=100%&height=400px,-
37,37,Citral,Metabolit Sekunder,Citral,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC(=CCC/C(=C/C=O)/C)C&width=100%&height=400px,-
38,38,Eugenol,Metabolit Sekunder,Eugenol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=CC(=C1)CC=C)O&width=100%&height=400px,-
39,39,Myristicin,Metabolit Sekunder,Myristicin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=C(C=C1CC=C)OCO2)O2&width=100%&height=400px,-
40,40,"1,8-Cineole",Metabolit Sekunder,"1,8-Cineole",-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1(C2CCC(O1)(CC2)C)C&width=100%&height=400px,-
41,41,Linalool,Metabolit Sekunder,Linalool,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC(=CCCC(C)(C=C)O)C&width=100%&height=400px,-
42,42,Piperine,Metabolit Sekunder,Piperine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3&width=100%&height=400px,-
43,43,Limonene,Metabolit Sekunder,Limonene,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=CCC(CC1)C(=C)C&width=100%&height=400px,-
44,44,Oxalic Acid,Metabolit Sekunder,Oxalic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C(=O)(C(=O)O)O&width=100%&height=400px,-
45,45,Tartaric Acid,Metabolit Sekunder,Tartaric Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C(C(C(=O)O)O)(C(=O)O)O&width=100%&height=400px,-
46,46,Procyanidin B2,Metabolit Sekunder,Procyanidin B2,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1C(C(OC2=C(C3=C(C(=C2)O)C(OC4=CC(=C(C=C43)O)O)C5=CC(=C(C=C5)O)O)C6=CC(=C(C=C6)O)O)O)O&width=100%&height=400px,-
47,47,Murrayanine,Metabolit Sekunder,Murrayanine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C2C=C(C=C(C2=NC3=C1C=CC=C3)C=O)&width=100%&height=400px,-
48,48,DMPBD,Metabolit Sekunder,DMPBD,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=CC(=C1)/C=C/CCO)OC&width=100%&height=400px,-
49,49,Panduratin A,Metabolit Sekunder,Panduratin A,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC(=C)CCC1C(CC(C2=C1C(=O)C=C(O2)C3=CC=CC=C3)O)(C)C&width=100%&height=400px,-
50,50,Curcumenol,Metabolit Sekunder,Curcumenol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(C2CC(C3(C(CC2(O1)C)O3)C)O)C&width=100%&height=400px,-
51,51,Curzerenone,Metabolit Sekunder,Curzerenone,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(CCC(=C1)C)C(=O)C2=C(CC2(C)C)C&width=100%&height=400px,-
52,52,Quercetin,Metabolit Sekunder,Quercetin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O&width=100%&height=400px,-
53,53,Kaempferol,Metabolit Sekunder,Kaempferol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O&width=100%&height=400px,-
54,54,Gallic Acid,Metabolit Sekunder,Gallic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=C(C=C(C(=C1O)O)O)C(=O)O&width=100%&height=400px,-
55,55,Deoxyelephantopin,Metabolit Sekunder,Deoxyelephantopin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=CC(=O)OC1CC2=C(COC2=O)C(=C)C3CCC4(C(O4)C5(C3(C)O)C(=C)C(=O)O5)C&width=100%&height=400px,-
56,56,Quercitrin,Metabolit Sekunder,Quercitrin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O&width=100%&height=400px,-
57,57,Gallic Acid,Metabolit Sekunder,Gallic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=C(C=C(C(=C1O)O)O)C(=O)O&width=100%&height=400px,-
58,58,Luteolin,Metabolit Sekunder,Luteolin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O&width=100%&height=400px,-
59,59,Ephedrine,Metabolit Sekunder,Ephedrine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC(C(C1=CC=CC=C1)O)NC&width=100%&height=400px,-
60,60,Ursolic Acid,Metabolit Sekunder,Ursolic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1CCC2(CC(CCC2(C1C3=CCC4C5(CCC(C(C5CCC4(C3(C)C)C)(C)C)O)C)C)C(=O)O)C&width=100%&height=400px,-
61,61,Borneol,Metabolit Sekunder,Borneol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1(C2CCC1(C(C2)O)C)C&width=100%&height=400px,-
62,62,Rosmarinic Acid,Metabolit Sekunder,Rosmarinic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1CC(C(=O)OC(CC2=CC(=C(C=C2)O)O)C(=O)O)O)O)O&width=100%&height=400px,-
63,63,Carvacrol,Metabolit Sekunder,Carvacrol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(C=C(C=C1)C(C)C)O&width=100%&height=400px,-
64,64,Papaverine,Metabolit Sekunder,Papaverine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=CC(=C1)CC2=C3C=C(C(=CC3=NC=C2)OC)OC)OC&width=100%&height=400px,-
65,65,Luteolin,Metabolit Sekunder,Luteolin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O&width=100%&height=400px,-
66,66,Glycyrrhizin,Metabolit Sekunder,Glycyrrhizin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1(C2CCC3(C(C3(CC2C4=C1C(=O)CC5C4(CCC(C5(C)C)C(=O)O)C)C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)C(=O)O)O)O)O)C&width=100%&height=400px,-
67,67,Coumarin,Metabolit Sekunder,Coumarin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC=C2C(=C1)C=CC(=O)O2&width=100%&height=400px,-
68,68,Procyanidin A2,Metabolit Sekunder,Procyanidin A2,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1C(C(OC2=C(C3=C(C(=C2)O)C(OC4=CC(=C(C=C43)O)O)C5=CC(=C(C=C5)O)O)C6=CC(=C(C=C6)O)O)O)O&width=100%&height=400px,-
69,69,Gallic Acid,Metabolit Sekunder,Gallic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=C(C=C(C(=C1O)O)O)C(=O)O&width=100%&height=400px,-
70,70,Arecoline,Metabolit Sekunder,Arecoline,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CN1CCC(=CC1)C(=O)OC&width=100%&height=400px,-
71,71,Catechin,Metabolit Sekunder,Catechin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O&width=100%&height=400px,-
72,72,Spinosin,Metabolit Sekunder,Spinosin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COCCCC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C=C3O)OC4C(C(C(C(O4)CO)O)O)O)O&width=100%&height=400px,-
73,73,Beta-sitosterol,Metabolit Sekunder,Beta-sitosterol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CCC(CC)C(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C&width=100%&height=400px,-
74,74,Echitamine,Metabolit Sekunder,Echitamine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1C2CN3CCC1(C3CC(C2)[N+](C)C)C(=O)OC&width=100%&height=400px,-
75,75,Mannitol,Metabolit Sekunder,Mannitol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C(C(C(C(C(CO)O)O)O)O)O&width=100%&height=400px,-
76,76,Khusimol,Metabolit Sekunder,Khusimol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1(C2CCC(C(C2)C1)C(=C)CO)C&width=100%&height=400px,-
77,77,Quinine,Metabolit Sekunder,Quinine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=CC2=C(C=CN=(C2)C=C1)C(C3CC4CCN3CC4C=C)O&width=100%&height=400px,-
78,78,Beta-sitosterol,Metabolit Sekunder,Beta-sitosterol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CCC(CC)C(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C&width=100%&height=400px,-
79,79,Vitexin,Metabolit Sekunder,Vitexin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1C(C(OC2=C1C(=O)C=C(O2)C3=CC=C(C=C3)O)C4C(C(C(C(O4)CO)O)O)O)O&width=100%&height=400px,-
80,80,Wedelolactone,Metabolit Sekunder,Wedelolactone,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C2=C(C(=C1)O)C(=O)OC3=C2C(=C(C=C3)O)OC)O&width=100%&height=400px,-
81,81,Delphinidin,Metabolit Sekunder,Delphinidin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2)O)O&width=100%&height=400px,-
82,82,Cyanidin,Metabolit Sekunder,Cyanidin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2)O)O&width=100%&height=400px,-
83,83,Leucocyanidin,Metabolit Sekunder,Leucocyanidin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O&width=100%&height=400px,-
84,84,Gendarusin A,Metabolit Sekunder,Gendarusin A,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C2=C(C=CC2)C(=O)OCC2C3=CC4=C(C=C3)OCO4)OC&width=100%&height=400px,-
85,85,Rhein,Metabolit Sekunder,Rhein,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C=CC(=C3O)C(=O)O)O&width=100%&height=400px,-
86,86,Brusatol,Metabolit Sekunder,Brusatol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=CC2(C(CC1(O)C(=O)OC)(C3C(C(C2O)(C4(C(O4)C(=O)OC)C)OC(=O)CC(C)(C)O)C)C)O&width=100%&height=400px,-
87,87,Ellagic Acid,Metabolit Sekunder,Ellagic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=C(C=C2C3=C(C(=C(C(=C3OC2=O)O)O)O)C(=O)OC1=C4C(=C(C(=CC4)O)O)O)&width=100%&height=400px,-
88,88,Asperuloside,Metabolit Sekunder,Asperuloside,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC(=O)OCC1=CO[C@@H]2[C@H]1[C@H](C(=C2)C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O&width=100%&height=400px,-
89,89,Phorbol,Metabolit Sekunder,Phorbol,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(C(=O)C2(C(C1)C3(C(C3(C)C)C(C(C2(CO)O)O)O)C)C)CO&width=100%&height=400px,-
90,90,Vernodalin,Metabolit Sekunder,Vernodalin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=CC(=O)OC1COC(=O)C(=C)C2CC3C(=C)C(=O)OC3C(C2O)C&width=100%&height=400px,-
91,91,Carpaine,Metabolit Sekunder,Carpaine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C[C@H]1CCCC[C@H]2CN3CCCC[C@@H]3C(=O)O[C@H]1C(=O)O2&width=100%&height=400px,-
92,92,Persenone A,Metabolit Sekunder,Persenone A,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CCCCCCCCCCCCCCC(=O)C=CC(=O)C&width=100%&height=400px,-
93,93,Thiazolidine-4-carboxylic acid,Metabolit Sekunder,Thiazolidine-4-carboxylic acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1CSC(N1)C(=O)O&width=100%&height=400px,-
94,94,Diosgenin,Metabolit Sekunder,Diosgenin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1CCC2(C(C3C(O3)C4C2(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)C)OC1&width=100%&height=400px,-
95,95,Ursolic Acid,Metabolit Sekunder,Ursolic Acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1CCC2(CC(CCC2(C1C3=CCC4C5(CCC(C(C5CCC4(C3(C)C)C)(C)C)O)C)C)C(=O)O)C&width=100%&height=400px,-
96,96,Alpha-thujone,Metabolit Sekunder,Alpha-thujone,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1C2CC(=O)C(C12)C(C)C&width=100%&height=400px,-
97,97,Aucubin,Metabolit Sekunder,Aucubin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=C(C(OC1OC2C(C(C(C(O2)CO)O)O)O)CO)O&width=100%&height=400px,-
98,98,Shanzhiside methyl ester,Metabolit Sekunder,Shanzhiside methyl ester,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC(=O)C1=COC(C1O)OC2C(C(C(C(O2)CO)O)O)O&width=100%&height=400px,-
99,99,Tetramethylpyrazine,Metabolit Sekunder,Tetramethylpyrazine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(N=C(C(=N1)C)C)C&width=100%&height=400px,-
100,100,Beta-carotene,Metabolit Sekunder,Beta-carotene,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C&width=100%&height=400px,-
101,101,Anethole,Phenylpropanoid,Anethole,C10H12O,148.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=anethole,Struktur khas aromatik manis.
102,102,Reserpine,Indole Alkaloid,Reserpine,C33H40N2O9,608.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=reserpine,Alkaloid kompleks hipotensif.
103,103,Linalool,Terpene,Linalool,C10H18O,154.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=linalool,Sama dengan lavender.
104,104,Eugenol,Phenylpropene,Eugenol,C10H12O2,164.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=eugenol,Khas kemangi/cengkeh.
105,105,Menthol,Monoterpene,Menthol,C10H20O,156.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=menthol,Sensasi dingin TRPM8.
106,106,Quercetin,Flavonoid,Quercetin,C15H10O7,302.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=quercetin,Antioksidan bawang.
107,107,Saponin,Glycoside,Saponin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=saponin,Berbusa di air.
108,108,Bryophyllin,Bufadienolide,Bryophyllin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=bryophyllin,Antiinflamasi daun tebal.
109,109,Linalool,Terpene,Linalool,C10H18O,154.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=linalool,Bunga harum.
110,110,Citronellol,Monoterpenoid,Citronellol,C10H20O,156.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=citronellol,Mawar.
111,111,Benzyl acetate,Ester,Benzyl acetate,C9H10O2,150.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=benzyl+acetate,Wangi melati.
112,112,Nuciferine,Aporphine Alkaloid,Nuciferine,C19H21NO2,295.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=nuciferine,Teratai.
113,113,Plumericin,Iridoid,Plumericin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=plumericin,Kamboja.
114,114,Alpha-Tocopherol,Vitamin E,Tocopherol,C29H50O2,430.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=alpha-tocopherol,Biji bunga matahari.
115,115,Clerodendrin,Diterpene,Clerodendrin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=clerodendrin,Bugang.
116,116,Hispidulin,Flavone,Hispidulin,C16H12O6,300.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=hispidulin,Pagoda.
117,117,Myricetin,Flavonol,Myricetin,C15H10O8,318.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=myricetin,Pucuk merah.
118,118,Mangiferin,Xanthone,Mangiferin,C19H18O11,422.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=mangiferin,Daun mangga.
119,119,Orientin,Flavone,Orientin,C21H20O11,448.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=orientin,Bambu.
120,120,Jambosine,Alkaloid,Jambosine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=jambosine,Jambu air.
