id,herbal_id,nama_obat,tipe_interaksi,efek,mekanisme
154,71,Obat Oral Umum,Farmakokinetik,Penurunan absorpsi.,Mekanisme ikatan tanin (sepat) mengendapkan mukosa lambung dan usus.
155,72,Benzodiazepin / Barbiturat,Farmakodinamik,Sedasi/Kantuk berlebihan.,Jujubosides memodulasi reseptor GABA secara aditif dengan obat penenang resep dokter.
156,73,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
157,74,Obat Antidiabetes,Farmakodinamik,Risiko gula darah turun ekstrem.,Pulai meningkatkan sensitivitas reseptor insulin seluler.
158,75,Diuretik Konvensional,Farmakodinamik,Dehidrasi dan sering kencing parah.,Efek diuretik osmotik (mannitol) bergabung dengan diuretik mekanis.
159,76,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
160,77,Digoxin,Farmakokinetik,Toksisitas Digoxin (Aritmia Fatal).,"Kinin/Quinidine menggeser digoxin dari ikatan proteinnya dan menurunkan sekresi ginjal, menaikkan kadar digoxin dalam darah."
161,77,Antasida,Farmakokinetik,Gagal pengobatan malaria.,Alkaloid kina gagal diserap jika lambung tidak asam.
162,78,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
163,79,Obat Antidiabetes,Farmakodinamik,Potensi hipoglikemia.,Penghambatan enzim alfa-glukosidase menghalangi perombakan karbohidrat.
164,80,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
165,81,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
166,82,Pil KB (Hormonal),Farmakodinamik,Meningkatkan profil kontraseptif tak terprediksi.,Ekstrak bunga sepatu memiliki sifat anti-implantasi dan mengubah regulasi siklus estrogen.
167,83,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
168,84,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
169,85,Diuretik / Kortikosteroid,Farmakodinamik,Hipokalemia parah.,Kehilangan kalium masif dari diare (klembak) dan ginjal (diuretik).
170,86,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
171,87,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
172,88,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
173,89,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
174,90,Obat Diabetes & Antihipertensi,Farmakodinamik,Gula darah dan tekanan darah dapat turun drastis (Hipotensi & Hipoglikemia).,Meningkatkan sensitivitas insulin dan relaksasi pembuluh darah secara simultan.
175,91,Warfarin / Aspirin,Farmakodinamik (Aditif),Meningkatkan risiko pendarahan.,Papain memiliki efek fibrinolitik yang memperkuat kerja pengencer darah.
176,91,Amiodarone,Farmakodinamik,Peningkatan risiko aritmia/bradikardia.,Carpaine dan Amiodarone sama-sama menekan nodus SA jantung.
177,92,Warfarin,Farmakokinetik,Menurunkan efektivitas Warfarin.,Kandungan Vitamin K tinggi pada daun dapat melawan efek antikoagulan Warfarin.
178,92,MAO Inhibitor (Antidepresan),Farmakodinamik,Krisis Hipertensi.,Kandungan tyramine (rendah) berpotensi bereaksi.
179,93,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
180,94,Insulin / Glibenclamide,Farmakodinamik (Sinergis),Hipoglikemia Berat (Gula darah drop/pingsan).,Efek penurun gula darah ganda.
181,94,Warfarin,Farmakodinamik,Pendarahan.,Kandungan coumarin pada klabet memperpanjang waktu pembekuan darah.
182,95,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
183,96,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
184,97,Lithium,Farmakokinetik,Menurunkan kadar Lithium dalam darah.,"Efek diuretik meningkatkan ekskresi lithium, mengurangi efektivitas obat penstabil mood tersebut."
185,98,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
186,99,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
187,100,Isotretinoin (Obat Jerawat),Farmakodinamik (Toksisitas),Risiko Hipervitaminosis A.,Akumulasi retinoid berlebih dalam tubuh yang merusak hati.
188,100,Orlistat (Obat Diet),Farmakokinetik,Defisiensi Beta-carotene.,Orlistat menghambat secara masif penyerapan vitamin larut lemak di usus.
219,101,Warfarin / Aspirin / Clopidogrel,Farmakodinamik,Risiko pendarahan spontan yang parah (misal: pendarahan otak/gastrointestinal).,"Ginkgolides (terutama Ginkgolide B) adalah antagonis kuat dari Platelet-Activating Factor (PAF), sehingga sangat kuat menghambat pembekuan darah."
220,101,Ibuprofen (NSAID),Farmakodinamik,Meningkatkan risiko iritasi dan pendarahan lambung.,Penghambatan agregasi platelet ganda dari ginkgo dan NSAID.
221,102,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
222,103,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
223,104,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
224,105,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
225,106,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
226,107,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
227,108,Kortikosteroid / Siklosporin / Tacrolimus,Farmakodinamik,Penurunan efektivitas obat penekan imun (gagal terapi autoimun atau penolakan organ transplan).,"Echinacea menstimulasi sistem imun non-spesifik (makrofag dan sel T), berlawanan langsung dengan fungsi obat imunosupresan."
228,109,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
229,110,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
230,111,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
231,112,"SSRI (Antidepresan: Fluoxetine, Sertraline)",Farmakodinamik,"Sindrom Serotonin (kebingungan, agitasi, hipertermia, kejang yang bisa berakibat fatal).","Hyperforin menghambat reuptake serotonin. Digabungkan dengan SSRI, kadar serotonin di otak melonjak ke tingkat beracun."
232,112,Pil KB (Kontrasepsi Oral),Farmakokinetik,Kegagalan kontrasepsi (kehamilan yang tidak direncanakan).,"St. John's Wort adalah induktor kuat enzim hati CYP3A4, mempercepat penghancuran hormon estrogen/progestin dalam pil KB."
233,112,Digoxin / Siklosporin / Indinavir,Farmakokinetik,Kegagalan terapi obat medis.,"Menginduksi P-glycoprotein (P-gp) di usus, memompa obat kembali ke usus sebelum diserap, sehingga kadar obat dalam darah anjlok."
234,113,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
235,114,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
236,115,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
237,116,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
238,117,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
239,118,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
240,119,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
241,120,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
242,121,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
243,122,Nadolol (Obat Darah Tinggi/Jantung),Farmakokinetik,Penurunan efektivitas Nadolol hingga 85%.,"Katekin teh hijau (terutama EGCG) menghambat transporter OATP1A2 di usus, mencegah penyerapan Nadolol ke dalam aliran darah."
244,122,Bortezomib (Kemoterapi Kanker Kelenjar Getah Bening),Farmakodinamik,Obat kemoterapi menjadi tidak mempan (inaktif).,Polifenol EGCG mengikat struktur molekul Bortezomib (asam boronat) dan menetralkan efek pembunuh kankernya seketika.
245,123,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
246,124,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
247,125,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
248,126,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
249,127,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
250,128,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
251,129,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
252,130,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
253,131,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
254,132,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
255,133,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
256,134,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
257,135,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
258,136,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
259,137,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
260,138,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
261,139,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
262,140,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
263,141,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
264,142,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
265,143,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
266,144,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
267,145,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
268,146,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
269,147,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
270,148,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
271,149,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
272,150,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
273,151,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
274,152,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
275,153,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
276,154,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
277,155,Digoxin,Farmakodinamik,Toksisitas Digoxin (Aritmia fatal).,Diare yang dipicu oleh sennosida menyebabkan hilangnya kalium tubuh (hipokalemia). Kalium rendah sangat meningkatkan sensitivitas miokardium jantung terhadap obat digoxin.
278,155,Diuretik (Furosemide / Thiazide),Farmakodinamik,Hipokalemia parah dan kelelahan otot ekstrem.,Kombinasi agen pencahar dan obat diuretik akan menguras elektrolit tubuh dari dua jalur berbeda (usus dan ginjal).
279,156,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
280,157,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
281,158,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
282,159,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
283,160,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
284,161,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
285,162,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
286,163,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
287,164,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
288,165,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
289,166,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
290,167,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
291,168,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
292,169,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
293,170,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
294,171,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
295,172,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
296,173,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
297,174,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
298,175,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
299,176,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
300,177,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
301,178,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
302,179,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
303,180,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
304,181,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
305,182,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
306,183,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
307,184,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
308,185,Obat Antihipertensi (Semua Golongan),Farmakodinamik,Gagalnya pengobatan tekanan darah tinggi.,"Glycyrrhizin dalam akar manis menyebabkan sindrom pseudoaldosteronisme (retensi natrium dan air), menaikkan tekanan darah sehingga melawan efek obat antihipertensi."
309,185,Kortikosteroid (Prednisone / Dexamethasone),Farmakokinetik,"Peningkatan efek samping steroid (osteoporosis, moon face).","Glycyrrhizin menghambat enzim 11-beta-hydroxysteroid dehydrogenase yang bertugas memecah kortisol, memperpanjang waktu paruh obat steroid di dalam darah."
310,186,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
311,187,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
312,188,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
313,189,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
314,190,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
315,191,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
316,192,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
317,193,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
318,194,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
319,195,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
320,196,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
321,197,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
322,198,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
