id,herbal_id,pemerian_farmakognosi,mikroskopik_farmakognosi,mekanisme_aksi,farmakokinetik,toksikologi,interaksi_obat_umum
15,15,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Quercitrin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
16,16,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker 3-n-butylphthalide menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI (Biji).,Potensi interaksi dengan obat metabolisme hati.
17,17,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Allicin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
18,18,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Cinnamaldehyde menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
19,19,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Aloin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI (Oral).,Potensi interaksi dengan obat metabolisme hati.
20,20,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Berberine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
21,21,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Charantin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
22,22,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Hibiscus acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
23,23,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Zeatin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN (Daun).,Potensi interaksi dengan obat metabolisme hati.
24,24,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Luteolin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
25,25,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Verbascoside menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
26,26,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Beta-sitosterol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
27,27,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Thymoquinone menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
28,28,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Eurycomanone menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
29,29,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Bergapten menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
30,30,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Alpha-mangostin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
31,31,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Annonacin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
32,32,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Pheophorbide-a menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
33,33,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Kaempferol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
34,34,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Eleutherine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
35,35,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Physalin B menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
36,36,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Brazilin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
37,37,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Citral menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
38,38,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Eugenol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
39,39,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Myristicin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
40,40,Organoleptik khas.,Fragmen pengenal spesifik.,"Senyawa marker 1,8-Cineole menunjukkan aktivitas biologis spesifik.",-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
41,41,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Linalool menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
42,42,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Piperine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
43,43,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Limonene menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
44,44,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Oxalic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
45,45,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Tartaric Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
46,46,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Procyanidin B2 menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
47,47,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Murrayanine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
48,48,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker DMPBD menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
49,49,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Panduratin A menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
50,50,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Curcumenol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
51,51,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Curzerenone menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
52,52,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Quercetin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
53,53,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Kaempferol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
54,54,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Gallic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
55,55,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Deoxyelephantopin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
56,56,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Quercitrin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
57,57,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Gallic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
58,58,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Luteolin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
59,59,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Ephedrine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
60,60,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Ursolic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
61,61,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Borneol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
62,62,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Rosmarinic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
63,63,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Carvacrol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
64,64,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Papaverine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN (Matang).,Potensi interaksi dengan obat metabolisme hati.
65,65,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Luteolin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
66,66,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Glycyrrhizin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN (Daun).,Potensi interaksi dengan obat metabolisme hati.
67,67,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Coumarin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
68,68,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Procyanidin A2 menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
69,69,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Gallic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
70,70,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Arecoline menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
71,71,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Catechin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
72,72,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Spinosin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
73,73,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Beta-sitosterol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
74,74,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Echitamine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
75,75,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Mannitol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
76,76,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Khusimol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
77,77,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Quinine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
78,78,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Beta-sitosterol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
79,79,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Vitexin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
80,80,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Wedelolactone menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN (Luar).,Potensi interaksi dengan obat metabolisme hati.
81,81,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Delphinidin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
82,82,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Cyanidin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
83,83,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Leucocyanidin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
84,84,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Gendarusin A menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
85,85,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Rhein menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
86,86,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Brusatol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
87,87,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Ellagic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
88,88,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Asperuloside menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
89,89,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Phorbol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
90,90,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Vernodalin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
91,91,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Carpaine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
92,92,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Persenone A menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
93,93,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Thiazolidine-4-carboxylic acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
94,94,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Diosgenin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
95,95,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Ursolic Acid menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
96,96,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Alpha-thujone menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
97,97,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Aucubin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
98,98,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Shanzhiside methyl ester menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
99,99,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Tetramethylpyrazine menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
100,100,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Beta-carotene menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN.,Potensi interaksi dengan obat metabolisme hati.
101,101,Biji wangi aromatik.,Fragmen sel endosperm.,Relaksasi otot polos usus.,Diserap cepat di usus.,Aman dosis lazim.,Sinergis dengan karminatif lain.
102,102,Akar pahit.,Fragmen sklerenkim.,Deplesi katekolamin di SSP.,Waktu paruh panjang.,Bisa depresi.,Bahaya dengan obat penenang SSP.
103,103,"Biji hitam, mengembang di air.",Selaput lendir (musilago).,Efek pencahar bulk-forming.,Tidak diserap (serat).,Aman.,Hambat absorpsi obat oral jika bersamaan.
